entity:1kg_sub_sample_id	BAM_File_Path	BAM_File_Ref	BAM_INDEX_File_Ref	Sample
13898086-7f84-4b88-af4a-2d0d7fd27d5c	/bam_files/NA18582.mapped.ILLUMINA.bwa.CHB.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_7b694b9b-d170-4871-a2ac-41215726e900	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/06927b48-2af5-4016-9681-40d3f3881e34/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA18582.mapped.ILLUMINA.bwa.CHB.low_coverage.20130415.bam.bai	NA18582
13a0d7a0-9485-4ff5-b906-cf255a2e6f58	/bam_files/HG03196.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_a2b5b2be-e6fe-4bbf-8055-6397a313159a	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/5f988dca-d23e-499a-ad9f-957ed0ce75c3/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG03196.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam.bai	HG03196
13b61a23-07c8-4d73-93f6-07bdc904fd08	/bam_files/HG01598.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_dd6de638-51aa-4bda-b8ba-39187c3554b9	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/3fac6a86-95a8-4284-8704-610c093a134d/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG01598.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam.bai	HG01598
13d3ef6e-fa9f-4baf-ad9c-8da404fc943d	/bam_files/HG03114.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_ae7c9b72-c62b-476e-8e23-20ed7e1a81d1	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/e597c1cc-5bf0-46ab-be1b-9a112ff8ae5a/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG03114.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam.bai	HG03114
13e15d26-8f00-4a58-95b0-0ee89562f4ef	/bam_files/HG02505.mapped.ILLUMINA.bwa.ACB.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_165683bf-e7f2-478c-9038-f0995b649e2c	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/52101303-fdff-4a0f-be96-7fc024bab681/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG02505.mapped.ILLUMINA.bwa.ACB.low_coverage.20130415.bam.bai	HG02505
143408a6-847b-4281-ad4e-34184f5690f9	/bam_files/NA20581.mapped.ILLUMINA.bwa.TSI.low_coverage.20130422.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_e554caef-e0a9-42d8-a841-f52b29ab996e	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/c7a74d77-4749-44c1-8055-af3c5e8c2b26/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA20581.mapped.ILLUMINA.bwa.TSI.low_coverage.20130422.bam.bai	NA20581
148ad526-ce8d-4176-aa0c-9e4ef3b5b8f7	/bam_files/NA20812.mapped.ILLUMINA.bwa.TSI.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_64b3f353-b3cd-4575-acc2-81399f66cbaf	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/4f68b836-e88a-4e1f-993a-8a6f17ca44a2/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA20812.mapped.ILLUMINA.bwa.TSI.low_coverage.20130415.bam.bai	NA20812
14a826a7-fe0e-4852-9710-0f02b3c5aff0	/bam_files/HG01524.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_f7df8439-22c7-4915-8515-fff5655fb27d	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/81bbe328-8078-4ec2-86f6-a6d56f35b63a/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG01524.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam.bai	HG01524
14ae7243-8fc5-4311-80e0-0ff5945054f5	/bam_files/NA19313.mapped.ILLUMINA.bwa.LWK.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_83e90243-d7c9-4143-90e0-5c7fae3ce9ed	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/bd514428-21ce-4404-b4bf-2a6672b86b50/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA19313.mapped.ILLUMINA.bwa.LWK.low_coverage.20120522.bam.bai	NA19313
14bbf75b-9069-4ee0-b8d8-042cebe8961c	/bam_files/HG02783.mapped.ILLUMINA.bwa.PJL.low_coverage.20121211.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_a32ccf69-0863-4aa1-b6c5-61f31c1b4765	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/a39e02d9-e69c-488b-81d6-e86d49243d99/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG02783.mapped.ILLUMINA.bwa.PJL.low_coverage.20121211.bam.bai	HG02783
15012570-22b8-4536-b159-5b674468c1bd	/bam_files/HG02334.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_160eded9-b629-4ee1-8aff-2dd7e1cbee2f	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/892690cd-9cfc-48c9-85e6-c62e3d361766/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG02334.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam.bai	HG02334
154055eb-6c63-4e81-be3c-749121a81d1e	/bam_files/HG01326.mapped.ILLUMINA.bwa.PUR.low_coverage.20121211.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_cf5ec0d2-d6fd-4084-b0be-65ac758d4ffa	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/1a430771-a889-40a1-bf05-a5109bd00d84/call-SamtoolsIndex/attempt-2/glob-6efbc60cb1e0959bab4e467327a9416c/HG01326.mapped.ILLUMINA.bwa.PUR.low_coverage.20121211.bam.bai	HG01326
1543c04a-daa0-4ebd-8974-6ec2b9fc0f9f	/bam_files/NA20821.mapped.ILLUMINA.bwa.TSI.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_53561504-fe68-40fe-a1cf-3a0836d5aee3	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/950686de-8f9d-4ec8-acd6-9793675e1efe/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA20821.mapped.ILLUMINA.bwa.TSI.low_coverage.20130415.bam.bai	NA20821
154fe458-07a9-4a26-90cb-f7af5ea95dc1	/bam_files/NA19428.mapped.ILLUMINA.bwa.LWK.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_c0fbc7dd-2854-4850-ad3c-45d13111e072	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/3ae567c9-c635-412b-b8b8-90f8659521cd/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA19428.mapped.ILLUMINA.bwa.LWK.low_coverage.20120522.bam.bai	NA19428
15579d6f-f728-4b44-9e36-9ab69917af37	/bam_files/HG02577.mapped.ILLUMINA.bwa.ACB.low_coverage.20121211.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_a7a094ae-e039-4aa0-b091-9258c157cbed	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/eac4bb99-3755-4403-b7b5-18d9510014ac/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG02577.mapped.ILLUMINA.bwa.ACB.low_coverage.20121211.bam.bai	HG02577
155c6fad-b518-44a8-bbe3-39a0bc1de083	/bam_files/NA19684.mapped.ILLUMINA.bwa.MXL.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_38c2b0ef-13bf-442c-bca0-835e75a8ee4b	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/619c9725-8950-40d9-9f90-ede5b325a0d3/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA19684.mapped.ILLUMINA.bwa.MXL.low_coverage.20120522.bam.bai	NA19684
156e5098-e81f-4248-8702-766935277a20	/bam_files/NA19436.mapped.ILLUMINA.bwa.LWK.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_29581b4d-ea38-44c4-9bd4-71cc54984708	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/94f75cd7-326b-489d-9b70-fd26b76f41a1/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA19436.mapped.ILLUMINA.bwa.LWK.low_coverage.20120522.bam.bai	NA19436
